video_id,video_url,caption,likes,comments,saves,comment_text,comments_data,comment_count_extracted,timestamp
7520154552079895830,https://www.tiktok.com/@real_jason_gta6/video/7520154552079895830,That's NEW GTA 6 GAMEPLAY LEAKS AND IT'S INSANE 🔥,0,0,0,they should delete water in places it isn't seen and delete clouds that aren't in player fov for optimization,"[{'text': ""they should delete water in places it isn't seen and delete clouds that aren't in player fov for optimization"", 'extracted_at': '2025-06-26T17:33:42.064491'}]",1,2025-06-26T17:33:48.158485
7520045635748236575,https://www.tiktok.com/@jynxzi.archives/video/7520045635748236575,Jynxzi finds out that you can already pre order GTA 6,0,0,0,ps had this for a month lmao ||| can't even pre order 💔 ||| xbox layout jus so terrible my god ||| Pre order a digital game. like its gonna be sold out ||| Get this PS5 GTA 6 28th of May 2026 18th of June 2026 on Xbox????? ||| you can't pre order ||| Why is everyone freaking out when it came out on ps like 2 months ago ||| why does he blink so hard ||| Gta running low on funds ||| you can download it through Xbox app ||| I found gta6 on xbox one x ||| Yall acting like you cant download it. [photo] ||| 17+ thought it was 18 ||| junko on timing fr ||| u cannot pre order it just shows as a coming soon game i haven’t touched xbox in a while but playstation has this for every game that is “coming out” or it says “just announced” on playstation ||| jynxzi reposted ||| we're early,"[{'text': 'ps had this for a month lmao', 'extracted_at': '2025-06-26T17:33:53.418347'}, {'text': ""can't even pre order 💔"", 'extracted_at': '2025-06-26T17:33:53.421775'}, {'text': 'xbox layout jus so terrible my god', 'extracted_at': '2025-06-26T17:33:53.425858'}, {'text': 'Pre order a digital game. like its gonna be sold out', 'extracted_at': '2025-06-26T17:33:53.434140'}, {'text': 'Get this PS5 GTA 6 28th of May 2026 18th of June 2026 on Xbox?????', 'extracted_at': '2025-06-26T17:33:53.438539'}, {'text': ""you can't pre order"", 'extracted_at': '2025-06-26T17:33:53.442405'}, {'text': 'Why is everyone freaking out when it came out on ps like 2 months ago', 'extracted_at': '2025-06-26T17:33:53.446010'}, {'text': 'why does he blink so hard', 'extracted_at': '2025-06-26T17:33:53.451558'}, {'text': 'Gta running low on funds', 'extracted_at': '2025-06-26T17:33:53.455066'}, {'text': 'you can download it through Xbox app', 'extracted_at': '2025-06-26T17:33:53.459785'}, {'text': 'I found gta6 on xbox one x', 'extracted_at': '2025-06-26T17:33:53.465324'}, {'text': 'Yall acting like you cant download it. [photo]', 'extracted_at': '2025-06-26T17:33:53.470099'}, {'text': '17+ thought it was 18', 'extracted_at': '2025-06-26T17:33:53.474419'}, {'text': 'junko on timing fr', 'extracted_at': '2025-06-26T17:33:53.478137'}, {'text': 'u cannot pre order it just shows as a coming soon game i haven’t touched xbox in a while but playstation has this for every game that is “coming out” or it says “just announced” on playstation', 'extracted_at': '2025-06-26T17:33:53.481782'}, {'text': 'jynxzi reposted', 'extracted_at': '2025-06-26T17:33:53.486286'}, {'text': ""we're early"", 'extracted_at': '2025-06-26T17:33:53.492475'}]",17,2025-06-26T17:33:59.758660
7520103802184224006,https://www.tiktok.com/@algoritmo_visual/video/7520103802184224006,GTA6 Gameplay ☠️🏦 ,0,0,0,,,0,2025-06-26T17:34:10.844692
7520314133099728150,https://www.tiktok.com/@moodxofficiel/video/7520314133099728150,Gta6 ,0,0,0,Tu est sur la piste d’atterrissage sur l’île de Cayo Perico sur gta 5 lol 💀 ||| papa oh Mbimayé papa oh Mbimayé 😭🥱,"[{'text': 'Tu est sur la piste d’atterrissage sur l’île de Cayo Perico sur gta 5 lol 💀', 'extracted_at': '2025-06-26T17:34:15.878809'}, {'text': 'papa oh Mbimayé papa oh Mbimayé 😭🥱', 'extracted_at': '2025-06-26T17:34:15.882311'}]",2,2025-06-26T17:34:21.977117
7520256470873640214,https://www.tiktok.com/@leak_rockstar_games/video/7520256470873640214,Leakead of Footage Gta 6 Gameplay 2025 ,0,0,0,How in the world r u playing GTA 6 when I can’t,"[{'text': 'How in the world r u playing GTA 6 when I can’t', 'extracted_at': '2025-06-26T17:34:26.993273'}]",1,2025-06-26T17:34:33.087359
7518397494280097038,https://www.tiktok.com/@alienmotivation/video/7518397494280097038,GTA 6 is gonna be fire 🔥 ,0,0,0,that is not gta 6 we did not wait this long for it to look like Sananddreasbut with good graphics ||| I might just stick with gta 5 atp😭🥀 ||| that's the ps4 spiderman map 🙏😭😭 ||| That is gta9,"[{'text': 'that is not gta 6 we did not wait this long for it to look like Sananddreasbut with good graphics', 'extracted_at': '2025-06-26T17:34:38.183561'}, {'text': 'I might just stick with gta 5 atp😭🥀', 'extracted_at': '2025-06-26T17:34:38.188463'}, {'text': ""that's the ps4 spiderman map 🙏😭😭"", 'extracted_at': '2025-06-26T17:34:38.193810'}, {'text': 'That is gta9', 'extracted_at': '2025-06-26T17:34:38.200582'}]",4,2025-06-26T17:34:44.457635
7520061024850955551,https://www.tiktok.com/@spaceguardian69/video/7520061024850955551,gta 6 is on xbox stores but can't be opened ,0,0,0,"POV my ranked teammate ||| Thats literally just 3 more seconds to get in the game! ||| It’s just a placeholder file nothing too special. ||| they had to have some sort of file to get it on the microsoft store so they just included that picture and i think the trailer ||| how you get your xbox background to change to the game? ||| Will it work on ps1😭 ||| are we frl😭 ||| Will it be on Xbox 360? ||| Same on my ps5 ||| I could play the game ||| Can it run on an Atari 2600? ||| May 26 2026 ||| Because it’s not out ||| for anyone wondering this is real but its not the acual game file size is like 300 mb so its just some dummy file ||| It’s sucks tho, wait until next year😔 ||| Boomis 🥰nie","[{'text': 'POV my ranked teammate', 'extracted_at': '2025-06-26T17:34:49.579060'}, {'text': 'Thats literally just 3 more seconds to get in the game!', 'extracted_at': '2025-06-26T17:34:49.582824'}, {'text': 'It’s just a placeholder file nothing too special.', 'extracted_at': '2025-06-26T17:34:49.587541'}, {'text': 'they had to have some sort of file to get it on the microsoft store so they just included that picture and i think the trailer', 'extracted_at': '2025-06-26T17:34:49.593213'}, {'text': 'how you get your xbox background to change to the game?', 'extracted_at': '2025-06-26T17:34:49.596412'}, {'text': 'Will it work on ps1😭', 'extracted_at': '2025-06-26T17:34:49.600204'}, {'text': 'are we frl😭', 'extracted_at': '2025-06-26T17:34:49.605745'}, {'text': 'Will it be on Xbox 360?', 'extracted_at': '2025-06-26T17:34:49.613657'}, {'text': 'Same on my ps5', 'extracted_at': '2025-06-26T17:34:49.618016'}, {'text': 'I could play the game', 'extracted_at': '2025-06-26T17:34:49.625986'}, {'text': 'Can it run on an Atari 2600?', 'extracted_at': '2025-06-26T17:34:49.629504'}, {'text': 'May 26 2026', 'extracted_at': '2025-06-26T17:34:49.633047'}, {'text': 'Because it’s not out', 'extracted_at': '2025-06-26T17:34:49.638762'}, {'text': 'for anyone wondering this is real but its not the acual game file size is like 300 mb so its just some dummy file', 'extracted_at': '2025-06-26T17:34:49.648002'}, {'text': 'It’s sucks tho, wait until next year😔', 'extracted_at': '2025-06-26T17:34:49.651877'}, {'text': 'Boomis 🥰nie', 'extracted_at': '2025-06-26T17:34:49.655379'}]",16,2025-06-26T17:34:56.019760
7519951563331292438,https://www.tiktok.com/@ryzentek/video/7519951563331292438,GTA 6 PC release 💀,0,0,0,"whats the hype with gta 6? ||| I don't regret getting that ps5 pro anymore 🤣 ||| it's not PC fault ||| tbh I dont care about this game so for me the release can be in 2040 ||| power xbox and playstation✌️💪💪 ||| YEEEEEEES 2028!!! ||| PS5 supremacy 💪 ||| ok, I will remove the gta6 from my memory for 2years. ||| That's real??????, ||| pc 😭😭😭 pc gta 5🤣🤣 ||| As a ps5 pro and pc player its really funny to see pc players acting like they don’t care when they literally flaming from the inside 😂💀 ||| Well I have a PS5 so I will wait ||| I rather wait and then play with better settings at more frames. Under 80fps is really sluggish to me and the consoles not even reaching 60 ||| Worth to wait, because it won’t be at 25-30 fps💀 ||| atp idc about gta 6 ||| in 2028, 6000 series Nvidia will become recommended GPU For this game 🤣 ||| WHY 💀 PC PLAYERS WANT IT SO MUCH","[{'text': 'whats the hype with gta 6?', 'extracted_at': '2025-06-26T17:35:01.333588'}, {'text': ""I don't regret getting that ps5 pro anymore 🤣"", 'extracted_at': '2025-06-26T17:35:01.337858'}, {'text': ""it's not PC fault"", 'extracted_at': '2025-06-26T17:35:01.346050'}, {'text': 'tbh I dont care about this game so for me the release can be in 2040', 'extracted_at': '2025-06-26T17:35:01.355280'}, {'text': 'power xbox and playstation✌️💪💪', 'extracted_at': '2025-06-26T17:35:01.359758'}, {'text': 'YEEEEEEES 2028!!!', 'extracted_at': '2025-06-26T17:35:01.364972'}, {'text': 'PS5 supremacy 💪', 'extracted_at': '2025-06-26T17:35:01.368792'}, {'text': 'ok, I will remove the gta6 from my memory for 2years.', 'extracted_at': '2025-06-26T17:35:01.373601'}, {'text': ""That's real??????,"", 'extracted_at': '2025-06-26T17:35:01.376943'}, {'text': 'pc 😭😭😭 pc gta 5🤣🤣', 'extracted_at': '2025-06-26T17:35:01.380946'}, {'text': 'As a ps5 pro and pc player its really funny to see pc players acting like they don’t care when they literally flaming from the inside 😂💀', 'extracted_at': '2025-06-26T17:35:01.385904'}, {'text': 'Well I have a PS5 so I will wait', 'extracted_at': '2025-06-26T17:35:01.393210'}, {'text': 'I rather wait and then play with better settings at more frames. Under 80fps is really sluggish to me and the consoles not even reaching 60', 'extracted_at': '2025-06-26T17:35:01.397154'}, {'text': 'Worth to wait, because it won’t be at 25-30 fps💀', 'extracted_at': '2025-06-26T17:35:01.401841'}, {'text': 'atp idc about gta 6', 'extracted_at': '2025-06-26T17:35:01.405331'}, {'text': 'in 2028, 6000 series Nvidia will become recommended GPU For this game 🤣', 'extracted_at': '2025-06-26T17:35:01.409103'}, {'text': 'WHY 💀 PC PLAYERS WANT IT SO MUCH', 'extracted_at': '2025-06-26T17:35:01.413534'}]",17,2025-06-26T17:35:07.769377
7519950189101190430,https://www.tiktok.com/@extreme_playzreal/video/7519950189101190430,How to install gta6 ,0,0,0,"will it be free if we buy it now ||| Yea for preorder ||| do i download the deluxe or just regular ||| Well, if you download it and when the game fully released, would you have to pay for it or would you be able to play it because you download it for free? ||| thanksss [photo] ||| i can't download it on Xbox one ||| I have an Xbox one 😕😕😕😕 ||| Nah stop lying 😭🙏 ||| Same thing got ps5 ||| its not there ||| I cant find it ||| It’s not there ||| he recover account..","[{'text': 'will it be free if we buy it now', 'extracted_at': '2025-06-26T17:35:12.798283'}, {'text': 'Yea for preorder', 'extracted_at': '2025-06-26T17:35:12.802511'}, {'text': 'do i download the deluxe or just regular', 'extracted_at': '2025-06-26T17:35:12.807284'}, {'text': 'Well, if you download it and when the game fully released, would you have to pay for it or would you be able to play it because you download it for free?', 'extracted_at': '2025-06-26T17:35:12.811902'}, {'text': 'thanksss [photo]', 'extracted_at': '2025-06-26T17:35:12.815396'}, {'text': ""i can't download it on Xbox one"", 'extracted_at': '2025-06-26T17:35:12.819438'}, {'text': 'I have an Xbox one 😕😕😕😕', 'extracted_at': '2025-06-26T17:35:12.823400'}, {'text': 'Nah stop lying 😭🙏', 'extracted_at': '2025-06-26T17:35:12.826820'}, {'text': 'Same thing got ps5', 'extracted_at': '2025-06-26T17:35:12.830460'}, {'text': 'its not there', 'extracted_at': '2025-06-26T17:35:12.836740'}, {'text': 'I cant find it', 'extracted_at': '2025-06-26T17:35:12.841141'}, {'text': 'It’s not there', 'extracted_at': '2025-06-26T17:35:12.844797'}, {'text': 'he recover account..', 'extracted_at': '2025-06-26T17:35:12.860821'}]",13,2025-06-26T17:35:19.218760
7519560725837434120,https://www.tiktok.com/@hossfrr/video/7519560725837434120,Yall gotta chill i still wanna play GTA 6 😭 ,0,0,0,GTA6❌ fallout 5 ✔️ ||| this is SO REAL ||| ceasefire luckily ✌🏻 ||| Bro I played gta6 in my dream until 8 am I realized it was fake 😞 ||| When gta 6 is on 99% and the lamp starts looking a little funny ||| Bro launched gta 6 on ps4 💀 ||| so close but so far but you going to play fallout 5 instead ||| Gta 6 is a myth bro🗿 ||| you stay in gta online 🤣🤣🤣🤣🤣 ||| whats the first song name ||| It could’ve been a couple more hours for GTA six ||| nobody see the vice city stories? ||| how am I first ||| We were so close 🫠 ||| imangine when you finnish downloading and suddently rockstar says its delayed again so you cant open the game! that wuld make my brain and heart explode! ||| I think the ceasefire is back ||| Me not having the money to even buy a ps 3 let alone a ps5 and gta6,"[{'text': 'GTA6❌ fallout 5 ✔️', 'extracted_at': '2025-06-26T17:35:24.378570'}, {'text': 'this is SO REAL', 'extracted_at': '2025-06-26T17:35:24.382152'}, {'text': 'ceasefire luckily ✌🏻', 'extracted_at': '2025-06-26T17:35:24.386421'}, {'text': 'Bro I played gta6 in my dream until 8 am I realized it was fake 😞', 'extracted_at': '2025-06-26T17:35:24.391131'}, {'text': 'When gta 6 is on 99% and the lamp starts looking a little funny', 'extracted_at': '2025-06-26T17:35:24.394663'}, {'text': 'Bro launched gta 6 on ps4 💀', 'extracted_at': '2025-06-26T17:35:24.399527'}, {'text': 'so close but so far but you going to play fallout 5 instead', 'extracted_at': '2025-06-26T17:35:24.407733'}, {'text': 'Gta 6 is a myth bro🗿', 'extracted_at': '2025-06-26T17:35:24.410967'}, {'text': 'you stay in gta online 🤣🤣🤣🤣🤣', 'extracted_at': '2025-06-26T17:35:24.414571'}, {'text': 'whats the first song name', 'extracted_at': '2025-06-26T17:35:24.423933'}, {'text': 'It could’ve been a couple more hours for GTA six', 'extracted_at': '2025-06-26T17:35:24.426838'}, {'text': 'nobody see the vice city stories?', 'extracted_at': '2025-06-26T17:35:24.430503'}, {'text': 'how am I first', 'extracted_at': '2025-06-26T17:35:24.434209'}, {'text': 'We were so close 🫠', 'extracted_at': '2025-06-26T17:35:24.438371'}, {'text': 'imangine when you finnish downloading and suddently rockstar says its delayed again so you cant open the game! that wuld make my brain and heart explode!', 'extracted_at': '2025-06-26T17:35:24.446305'}, {'text': 'I think the ceasefire is back', 'extracted_at': '2025-06-26T17:35:24.449631'}, {'text': 'Me not having the money to even buy a ps 3 let alone a ps5 and gta6', 'extracted_at': '2025-06-26T17:35:24.454749'}]",17,2025-06-26T17:35:30.806637
