video_id,video_url,caption,likes,comments,saves,comment_text,timestamp
7517641415149522189,https://www.tiktok.com/@morty.fied/video/7517641415149522189,Totally not leaked GTA 6 footage 🙃,0,0,0,,2025-06-26T17:21:36.433894
7510061921295486239,https://www.tiktok.com/@gta6film/video/7510061921295486239,GTA 6 locations ,0,0,0,,2025-06-26T17:21:36.484653
7462090590432300331,https://www.tiktok.com/@cadetsforreal/video/7462090590432300331,Grand theft auto 6 leaked footage (2022) 👀,0,0,0,,2025-06-26T17:21:36.532834
7501403100868037930,https://www.tiktok.com/@only_therealunderstand/video/7501403100868037930,I just know GTA 6 is going to be PEAK🙏🏽🔥,0,0,0,,2025-06-26T17:21:36.585363
7519909243139493175,https://www.tiktok.com/@flimsymma/video/7519909243139493175,Gta 6 is going to be insane when it comes out. ,0,0,0,,2025-06-26T17:21:36.692582
7501457630037150998,https://www.tiktok.com/@inspiringimarah/video/7501457630037150998,How are we going to focus on the storyline??🌚 | GTA 6 | ,0,0,0,,2025-06-26T17:21:36.747563
7501447462054284590,https://www.tiktok.com/@zookclothing/video/7501447462054284590,GTA 6 Trailer Reaction!,0,0,0,,2025-06-26T17:21:36.906307
7511167191434251542,https://www.tiktok.com/@grandguy/video/7511167191434251542,GTA 6 vice city Miami Beachview Gameplay 🏝️,0,0,0,,2025-06-26T17:21:37.062900
7516712129039306014,https://www.tiktok.com/@overcooked_salmon_36/video/7516712129039306014,ww3 before gta 6 ain’t a joke nm🥀,0,0,0,,2025-06-26T17:21:37.112252
7505125268810370334,https://www.tiktok.com/@itsjkwan/video/7505125268810370334,Gamers react to the first GTA 6 trailer. ,0,0,0,,2025-06-26T17:21:45.335915
7466198255253163297,https://www.tiktok.com/@mlrtch/video/7466198255253163297,GTA 6 isn’t looking too good ngl 💀,0,0,0,,2025-06-26T17:21:45.482938
7505179552583290134,https://www.tiktok.com/@welshyy99/video/7505179552583290134,All songs that are confirmed to be in GTA 6 🏝️ ,0,0,0,,2025-06-26T17:21:45.534192
7500966648510352686,https://www.tiktok.com/@qualitycaseoh/video/7500966648510352686,Caseoh reacts to GTA6 being delayed until 2026. ,0,0,0,,2025-06-26T17:21:45.586052
