video_id,video_url,caption,likes,comments,shares,comment_text,timestamp
7520326093706956054,https://www.tiktok.com/@leak_rockstar_games/video/7520326093706956054,Gta 6 Leak 2025 ,0,0,0,,2025-06-26T16:43:03.812265
7520154552079895830,https://www.tiktok.com/@real_jason_gta6/video/7520154552079895830,That's NEW GTA 6 GAMEPLAY LEAKS AND IT'S INSANE 🔥 ,0,0,0,,2025-06-26T16:43:03.856222
7520256470873640214,https://www.tiktok.com/@leak_rockstar_games/video/7520256470873640214,Leakead of Footage Gta 6 Gameplay 2025 ,0,0,0,,2025-06-26T16:43:03.898627
7438300516263775520,https://www.tiktok.com/@gta6_leaks/video/7438300516263775520,FRESH GTA 6 LEAK ,0,0,0,,2025-06-26T16:43:03.950736
7520358151359696150,https://www.tiktok.com/@leak_rockstar_games/video/7520358151359696150,Gta 6 Leak 2025 😨😨 ,0,0,0,,2025-06-26T16:43:03.991162
7519914602986081558,https://www.tiktok.com/@rapidreacts.fan24/video/7519914602986081558,76 Massive GTA 6 Leaks!! ,0,0,0,,2025-06-26T16:43:04.031633
7517071306278309142,https://www.tiktok.com/@leak_rockstar_games/video/7517071306278309142,Gta 6 Leak 2025 ,0,0,0,,2025-06-26T16:43:04.071854
7520293362507877634,https://www.tiktok.com/@leak_rockstar_games/video/7520293362507877634,Leakead Footage of gta 6 Gameplay 2025 ,0,0,0,,2025-06-26T16:43:04.154859
7496932178719149335,https://www.tiktok.com/@andrewleaks/video/7496932178719149335,LEAKS GTA6 Pool Swiming ,0,0,0,,2025-06-26T16:43:04.230180
7519233507143486742,https://www.tiktok.com/@leak_rockstar_games/video/7519233507143486742,Gta 6 Leak 2025 ,0,0,0,,2025-06-26T16:43:04.307317
7517748829089746198,https://www.tiktok.com/@leak_rockstar_games/video/7517748829089746198,Gta 6 Leak 2025 ,0,0,0,,2025-06-26T16:43:04.346925
7514929855838850334,https://www.tiktok.com/@gta6orxmnvm/video/7514929855838850334,GTA 6 massive leak!! ,0,0,0,,2025-06-26T16:43:04.460965
7326008735191567659,https://www.tiktok.com/@kennyai08/video/7326008735191567659,GTA 6 Trailer 2 Leaked Screenshots ,0,0,0,,2025-06-26T16:43:04.499756
7517000887890464014,https://www.tiktok.com/@gta6orxmnvm/video/7517000887890464014,GTA 6 looks insane! This will be the biggest games ever! ,0,0,0,,2025-06-26T16:43:04.537681
7501767860105055510,https://www.tiktok.com/@leak_rockstar_games/video/7501767860105055510,Gta 6 Leak 2025 ,0,0,0,,2025-06-26T16:43:04.579191
7308076350764584224,https://www.tiktok.com/@irockstargames/video/7308076350764584224,"GTA 6 JUST LEAKED AGAIN, a rockstar employees son leaked the new Vice City map ",0,0,0,,2025-06-26T16:43:04.681958
7274683927137111338,https://www.tiktok.com/@rapidreacts/video/7274683927137111338,Massive LEAK For GTA 6 From Take-Two CEO Himself! ,0,0,0,,2025-06-26T16:43:04.720712
7491070082865433878,https://www.tiktok.com/@andrewleaks/video/7491070082865433878,GTA6 Leaks Lucia Océan Beach 🌴,0,0,0,,2025-06-26T16:43:04.798946
7486462524095761686,https://www.tiktok.com/@merryyweather/video/7486462524095761686,GTA 6 Looks so realistic in the new trailer 2🤯,0,0,0,,2025-06-26T16:43:04.838187
7514472184044195102,https://www.tiktok.com/@pxlseyaps/video/7514472184044195102,More GTA 6 leaks just came out ,0,0,0,,2025-06-26T16:43:04.877841
7504378932011994390,https://www.tiktok.com/@gta.boi5/video/7504378932011994390,New sneak peak GTA6 map leak 😱 Just look how dense it is ,0,0,0,,2025-06-26T16:43:04.915383
7073652769592380718,https://www.tiktok.com/@rapidreacts/video/7073652769592380718,Gta 6 map leak! ,0,0,0,,2025-06-26T16:43:04.954466
7511929361910615327,https://www.tiktok.com/@gtaaileaks/video/7511929361910615327,GTA 6 LEAK JASON ,0,0,0,,2025-06-26T16:43:04.994808
7504028078943882518,https://www.tiktok.com/@leak_rockstar_games/video/7504028078943882518,Leak gta 6 2025 ,0,0,0,,2025-06-26T16:43:05.071719
7506282289911909674,https://www.tiktok.com/@echowaveshorts/video/7506282289911909674,New GTA 6 feature just leaked 😳😱 ,0,0,0,,2025-06-26T16:43:05.146134
